Menu Item,Calories,Fat Cal.,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (%),Vitamin C (%),Calcium (%),Iron (%),Vegetarian,Vegan,Contains Peanuts,Contains Tree Nuts,Contains Wheat,Contains Soy,Contains Dairy,Contains Eggs,Contains Shellfish,Contains Fish,Add-on
Chicken Caesar Salad,564,338,37.5,7.4,0,122,649.5,17.1,1.6,0.8,41.5,103,11,16,19,0,0,0,0,1,1,1,1,0,1,0
Chicken Tenders,512,298,33.1,7.5,,98.7,823.3,24.5,0,0,28.9,0,0,2,8,0,0,0,0,1,1,0,0,0,0,0
Chinese Chicken Salad,343,125,13.8,1.6,0,82.4,218.1,18.2,3.2,3.5,36.2,105,5,9,17,0,0,0,1,1,1,0,0,0,0,0
Macaroni & Cheese,820,424,47,26.7,0.1,127.4,2044.1,60.4,2.7,12.7,37.6,40,0,91,13,1,0,0,0,1,1,1,0,0,0,0
Vegan Chick'n Fingers,361,74,8.2,0.3,0,0,631.4,23.8,7.6,3.2,43.5,0,0,1,4,0,1,0,0,1,1,0,0,0,0,0
Classic Burger,667,353,39.1,12.4,1.9,137.6,549.4,31.8,1.8,4.7,44.4,8,9,12,32,0,0,0,0,1,1,0,1,0,0,0
Classic Cheeseburger,720,393,43.6,15.2,1.9,150.9,727.3,32.1,1.8,4.8,47.5,11,9,20,32,0,0,0,0,1,1,1,1,0,0,0
Breakfast Burger,711,380,42.1,14.4,2.1,270.1,640,27.4,1.5,4.6,51.9,10,2,14,35,0,0,0,0,1,1,1,1,0,0,0
Chili Cheddar Burger,701,358,39.7,15.9,1.9,168.5,741.8,30.2,2.5,5.7,52.9,14,14,23,50,0,0,0,0,1,1,1,0,0,0,0
"Portobello ""Burger""",443,272,30.1,6.4,0,25.6,464.9,35.3,4.5,7.2,12,46,169,20,18,1,0,0,0,1,1,1,1,0,0,0
Extra American Cheese,106,80,8.9,5.6,,26.6,355.5,0.5,0,0.1,6.3,5,0,16,0,0,0,0,0,0,1,1,0,0,0,0
Extra Cheddar Cheese,114,85,9.4,6,,29.8,176.1,0.4,0,0.1,7.1,6,0,20,1,1,0,0,0,0,0,1,0,0,0,0
Extra Hamburger Patty,410,243,26.9,10.2,1.9,137.6,113.4,0,0,0,38.9,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0
Chili Cheese Curly Fries,657,352,39,11.7,0,46.5,1523.1,58.9,6.4,2.5,18.4,20,19,25,32,0,0,0,0,1,1,1,0,0,0,0
Chili Cheese Fries,414,195,21.6,9.6,0,46.5,964,40.5,4.1,2.8,15.9,20,55,24,26,0,0,0,0,0,0,1,0,0,0,0
Mozzarella Sticks,574,280,31,11,0.8,62.2,2190.4,49.6,2.6,6.5,25.8,16,4,52,5,1,0,0,0,1,0,1,1,0,0,0
Onion Rings Half Order (6 oz.),565,287,31.8,14.2,,28.9,881.1,64.2,,,7.6,0,2,15,10,0,0,0,0,1,1,1,0,0,0,0
Carne Asada Fries,642,354,39.3,12.5,0.4,45.1,605.5,59.4,7.4,2.4,13.8,18,30,27,11,0,0,0,0,0,0,1,0,0,0,0
Chicken Tenders 1 lb.,1365,795,88.2,19.9,,263.1,2195.4,65.4,0,0,77.1,0,0,6,22,0,0,0,0,1,1,0,0,0,0,0
Onion Rings Full Order (12 oz.),1129,574,63.6,28.5,,57.8,1762.2,128.4,,,15.2,1,4,30,19,0,0,0,0,1,1,1,0,0,0,0
Vegan Chick'n Fingers 1 lb.,673,99,11,0.2,0,0,1262.9,47.6,15.3,6.4,87,0,0,1,9,0,1,0,0,1,1,0,0,0,0,0
Curly Fries,361,173,19.2,2.8,0,0,823.7,42.9,4,0,4.5,0,3,2,8,0,1,0,0,1,0,0,0,0,0,0
French Fries,381,181,20,8.2,,15.7,261.3,47.9,,,4.9,0,21,2,5,0,1,0,0,0,0,0,0,0,0,0
